Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Beast Mode,507540,tt2323912,2017-12-31,"'Bad boy' actor Huckle Saxton lets fame get to his head and turns into a ferocious beast, ripping Hollywood to shreds. Will he sink his teeth into the role of a lifetime or succumb to the dangers of the Hollywood lifestyle?","'Bad boy' actor Huckle Saxton lets fame get to his head and turns into a ferocious beast, ripping Hollywood to shreds. Will he sink his teeth into the role of a lifetime or succumb to the dangers of the Hollywood lifestyle?",en,Released,1000000,,N/A,7.2,5,N/A,N/A,"[35, 27]"
Immersion,490104,tt7206470,2017-12-09,"A thief wakes up in a room with a couple dead guys, a gun, a briefcase full of money, and a dubious gentleman watching from the shadows. What happens next is 'virtually' criminal.","A thief wakes up in a room with a couple dead guys, a gun, a briefcase full of money, and a dubious gentleman watching from the shadows. What happens next is 'virtually' criminal.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Art Show Bingo,487295,tt5947582,2017-11-10,A creative and talented young man (Wilbur Hunter -played by James Maslow) is torn between his passion for painting and his promise to his father to oneday take over the family business. ...,"A creative and talented young man (Wilbur Hunter -played by James Maslow) is torn between his passion for painting and his promise to his father to oneday take over the family business. With his family, his friends, and a newfound love, Wilbur must decide whether to follow his heart or do what's expected of him.",en,Released,0,,N/A,7.8,40,N/A,N/A,[10749]
Daytime Noon,483145,,2017-11-07,,"Narcolepsy, siblings, nudity, and senility combine for the best kind of road trip.  Or do they? A comedic short with Olivia Wilde, Jakob von Eichel, Brian Corrigan and Dolly Wells.",en,Released,0,,,,,,,[]
Slaughterbots,488589,tt7659054,2017-11-17,"In response to growing concerns about autonomous weapons, a coalition of AI researchers and advocacy organizations commissioned this disturbing dystopian film. It depicts a disturbing ...","A UC Berkeley computer science professor helped to create a video that imagined a world where nuclear weapons were replaced by swarms of autonomous tiny drones that could kill half a city and are virtually unstoppable. Stuart Russell, the professor, said these drones are already a reality.",en,Released,0,,N/A,8.0,30,N/A,N/A,[878]
Somewhere in Tonga,488733,tt6815674,2017-11-23,"There is nothing that keeps passionate social worker Wolski in Germany. On a remote island in the Kingdom of Tonga, he chooses to give criminal teenagers a second chance. His first ...","There is nothing that keeps passionate social worker Wolski in Germany. On an uninhabited island in the Kingdom of Tonga he wants to give criminal teenagers a second chance. His first candidate is Marcel, 16, and no stranger to drugs, violence and crime. So a visit to the main island ends in disaster. Wolski only narrowly manages to keep the boy from being send to prison. The deal: From now on, Marcel is not allowed to leave the remote island at all.",en,Released,0,,N/A,7.8,14,N/A,N/A,[18]
BorderCross,491194,tt4552514,2017-12-05,"Ex-boxer Danny""Boy"" Jackson only left the room for a second, and came back to find his son gone. He quickly finds that human traffickers have taken him to be sold in the Middle East. With ...","Ex-boxer Danny ""Boy"" Jackson only left the room for a second, and came back to find his son gone. He quickly finds that human traffickers have taken him to be sold in the Middle East. With only hours left, and the clock ticking, Danny ""Boy"" Jackson comes out of retirement.",en,Released,0,,N/A,4.3,68,N/A,N/A,[28]
Minion Moments: Overkill,501104,tt7660792,2017-12-05,"Minion uses his hand, wearing a virtual reality hand device controlling a big robotic machine, to combat a bug.","Minion uses his hand, wearing a virtual reality hand device controlling a big robotic machine, to combat a bug.",en,Released,0,,N/A,5.9,12,N/A,N/A,"[16, 10751]"
Family of Lies,495773,tt6799636,2017-12-31,"After their parents were killed in a mysterious car accident, Emily and her younger siblings moved to a small Louisiana town. Soon strange things start to happen, giving the siblings the feeling that they're being watched.","After their parents were killed in a mysterious car accident, Emily and her younger siblings moved to a small Louisiana town. Soon strange things start to happen, giving the siblings the feeling that they're being watched.",en,Released,0,,N/A,5.3,69,N/A,N/A,[53]
The Last Hope,488888,tt5470742,2017-11-24,The world has been devastated by the virus that has reanimated the dead to consume the living. Australia has so far remained unscathed through a brutal border protection policy and ...,"The world has been devastated by the virus that has reanimated the dead to consume the living. Australia has so far remained unscathed through a brutal border protection policy and internment facilities. Derek Jones and the High Risk Response Unit restore order to the internment facilities when law and order breaks down. When the arrival of a mysterious girl collides with the uprising at the Briar's Hill Detention Centre, will Australia, the last hope for many, finally fall?",en,Released,0,,N/A,8.7,35,N/A,N/A,[27]
Present Laughter,485204,tt7133424,2017-11-03,"A self-obsessed actor in the midst of a mid-life crisis juggles a fawning ingenue, a crazed playwright, his ex-wife, and the personal lives of his friends.","A self-obsessed actor in the midst of a mid-life crisis juggles a fawning ingenue, a crazed playwright, his ex-wife, and the personal lives of his friends.",en,Released,0,,N/A,8.2,35,N/A,N/A,[18]
Dumbboat,504544,tt6420638,2017-11-17,"Snack-addicted bedroom-musician Lewis Bewlis is visited by a mysterious stranger, tasked with turning his life around.","Snack-addicted bedroom-musician Lewis Bewlis is visited by a mysterious stranger, tasked with turning his life around.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
WoodMan,528040,tt6680196,2017-12-02,,"A man made of wood and a woman with secrets connect online, sharing truths that break them out of the cages of lies that have imprisoned them.",en,Released,0,,,,,,,[14]
Flashburn,491020,tt5544224,2017-12-05,"Wes Nolan wakes up in an abandoned warehouse with a case of amnesia. He has been kidnapped by someone named ""Lazarus"" who has him held captive in order to get the cure for an Ebola outbreak...","Wes Nolan wakes up in an abandoned warehouse with a case of amnesia. He has been kidnapped by someone named ""Lazarus"" who has him held captive in order to get the cure for an Ebola outbreak. Wes was a virologist and microbiologist who was working to engineer a bacteria protein carrier to attack the Ebola virus before it could destroy human cells. Instead of destroying the Ebola, however, Wes' protein mutated the virus into something much more potent. Now Wes must try to regain his memory and try to find the cure.",en,Released,0,,N/A,4.0,116,05 Dec 2017,N/A,[878]
Snowbound,523307,tt6241768,2018-01-01,"A group of sex party attendees wake up naked in the snow. In the nearby cabin they find a dead girl and a message: In order to survive, they must decide who is responsible for the girl's death and murder that person accordingly.","A group attending a sex party wake up naked in the snow. In the nearby cabin they find a dead girl and a message: In order to survive, they must decide who is responsible for the girl's death and murder that person accordingly.",en,Released,0,,N/A,3.7,19,N/A,N/A,[53]
HAGER,460290,tt6698964,2017-12-15,"After his colleague Schweitzer goes missing during a drug raid, undercover cop Till Hager is tasked with tracking down a mysterious new drug called ""Abaddon"" - a substance which supposedly drags it's users down the deepest depths of hell.","After his colleague Schweitzer goes missing during a drug raid, undercover cop Till Hager is tasked with tracking down a mysterious new drug called ""Abaddon"" - a substance which supposedly drags it's users down the deepest depths of hell.",en,Released,35,,N/A,N/A,N/A,N/A,N/A,"[27, 9648, 18]"
Freelancer,496059,tt7725478,2017-11-30,"Freelancer is a horror comedy that follows Jorge, a struggling freelancer cameraman, who is about to endure the most nightmarish gig he has ever gotten.","Freelancer is a horror comedy that follows Jorge, a struggling freelancer cameraman, who is about to endure the most nightmarish gig he has ever gotten.",en,Released,0,,N/A,8.6,9,N/A,N/A,"[35, 18, 27]"
A Parte do Mundo que me Pertence,480618,,2017-11-27,,Documentary about the lives and dreams of nine people in a big city.,en,Released,0,,,,,,,[]
Liz Drives,489363,tt6839668,2017-11-26,Some horrors you create yourself.,Two sisters on the way to visit their mother come across an unexpected horror.,en,Released,0,,N/A,8.7,18,N/A,N/A,"[27, 18]"
The Dollmaker,501928,tt7253316,2017-12-13,A grieving mother latches on to a magical surrogate for her lost child. But small miracles come with big consequences..,A grieving mother latches on to a magical surrogate for her lost child. But small miracles come with big consequences.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Beep Test,499467,tt6709052,2017-12-02,,"Wojtek is a mysterious new student at school. This is why he is a prey designated for Thomas and Philippe, two students in search of entertainment. Not finding the words in front of his assailants, Wojtek will go back to his physical education course to express the substance of his thoughts.",en,Released,0,,,,,,,[18]
Dating Game Killer,490768,tt6294806,2017-12-03,A grieving mother seeks justice against the serial killer who killed her daughter.,A grieving mother seeks justice against the serial killer who killed her daughter.,en,Released,0,,N/A,6.1,57,N/A,N/A,"[80, 53]"
Consume,488466,tt6871132,2017-11-25,"Inspired by true events, residential school survivor Jacob Wematim, struggles to hang onto his land and indigenous identity as his personal demons resurface and manifest in the form of the Wendigo spirit.",Residential school survivor Jacob struggles to hang onto his family as his demons threaten to manifest.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[27]
I Think My Roommate Is a Serial Killer,486872,tt7563966,2017-11-11,"Dave is becoming increasingly suspicious over his roommate Lucas' bizarre behavior, and he starts to think there is more to Lucas than his Average Joe appearance.","Dave is becoming increasingly suspicious over his roommate Lucas' bizarre behavior, and he starts to think there is more to Lucas than his Average Joe appearance. One of six 2017 Regal Short Film Showdown finalists.",en,Released,150,,N/A,N/A,N/A,N/A,N/A,"[35, 53]"
Killer Charm,492625,tt6951854,2017-11-27,Snow White. Cinderella. Princess Aurora. They all married Prince Charming. So what did he do with the bodies? Law and Order meets Enchanted in this spoof of fairy tale love.,Snow White. Cinderella. Princess Aurora. They all married Prince Charming. So what did he do with the bodies?,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
